year,round,country,votingCountry,points
1961,final,nl,de,1
1961,final,nl,yu,2
1961,final,se,fr,2
1961,final,de,dk,1
1961,final,de,se,1
1961,final,de,at,1
1961,final,fr,gb,2
1961,final,fr,lu,1
1961,final,fr,de,4
1961,final,fr,se,1
1961,final,fr,fi,1
1961,final,fr,mc,2
1961,final,fr,es,2
1961,final,ch,it,2
1961,final,ch,gb,2
1961,final,ch,se,4
1961,final,ch,nl,2
1961,final,ch,yu,1
1961,final,ch,at,2
1961,final,ch,mc,2
1961,final,ch,es,1
1961,final,be,lu,1
1961,final,no,dk,1
1961,final,no,be,5
1961,final,no,yu,1
1961,final,no,fi,2
1961,final,no,es,1
1961,final,dk,no,8
1961,final,dk,se,2
1961,final,dk,nl,1
1961,final,dk,fi,1
1961,final,lu,it,3
1961,final,lu,dk,1
1961,final,lu,ch,1
1961,final,lu,fr,1
1961,final,lu,de,5
1961,final,lu,se,1
1961,final,lu,nl,1
1961,final,lu,yu,5
1961,final,lu,fi,3
1961,final,lu,at,4
1961,final,lu,mc,4
1961,final,lu,es,2
1961,final,gb,it,1
1961,final,gb,lu,8
1961,final,gb,dk,1
1961,final,gb,be,1
1961,final,gb,ch,7
1961,final,gb,nl,3
1961,final,gb,es,3
1961,final,it,dk,4
1961,final,it,be,4
1961,final,it,fr,1
1961,final,it,nl,1
1961,final,it,yu,1
1961,final,it,mc,1
1962,final,fi,gb,3
1962,final,fi,no,1
1962,final,dk,it,1
1962,final,dk,se,1
1962,final,se,nl,1
1962,final,se,dk,3
1962,final,de,mc,2
1962,final,de,gb,2
1962,final,de,nl,2
1962,final,de,dk,1
1962,final,de,fi,2
1962,final,fr,mc,1
1962,final,fr,it,2
1962,final,fr,lu,1
1962,final,fr,gb,1
1962,final,fr,yu,3
1962,final,fr,ch,3
1962,final,fr,no,3
1962,final,fr,de,3
1962,final,fr,se,3
1962,final,fr,at,2
1962,final,fr,es,2
1962,final,fr,be,2
1962,final,no,fr,2
1962,final,ch,de,2
1962,final,yu,it,3
1962,final,yu,fr,3
1962,final,yu,se,2
1962,final,yu,be,1
1962,final,yu,fi,1
1962,final,gb,yu,2
1962,final,gb,ch,2
1962,final,gb,dk,2
1962,final,gb,es,1
1962,final,gb,fi,3
1962,final,lu,mc,3
1962,final,lu,ch,1
1962,final,lu,at,1
1962,final,lu,es,3
1962,final,lu,be,3
1962,final,it,lu,2
1962,final,it,yu,1
1962,final,mc,lu,3
1962,final,mc,no,2
1962,final,mc,fr,1
1962,final,mc,nl,3
1962,final,mc,de,1
1962,final,mc,at,3
1963,final,gb,nl,3
1963,final,gb,no,5
1963,final,gb,fi,3
1963,final,gb,dk,3
1963,final,gb,yu,3
1963,final,gb,fr,3
1963,final,gb,es,5
1963,final,gb,se,2
1963,final,gb,mc,1
1963,final,de,no,2
1963,final,de,mc,3
1963,final,at,gb,4
1963,final,at,fi,4
1963,final,at,dk,1
1963,final,at,fr,2
1963,final,at,se,3
1963,final,at,be,2
1963,final,it,gb,2
1963,final,it,nl,1
1963,final,it,no,3
1963,final,it,fi,2
1963,final,it,dk,5
1963,final,it,yu,4
1963,final,it,ch,5
1963,final,it,es,3
1963,final,it,be,3
1963,final,it,mc,5
1963,final,it,lu,4
1963,final,dk,gb,3
1963,final,dk,nl,5
1963,final,dk,de,2
1963,final,dk,at,3
1963,final,dk,no,4
1963,final,dk,it,2
1963,final,dk,fi,5
1963,final,dk,ch,3
1963,final,dk,se,5
1963,final,dk,be,5
1963,final,dk,lu,5
1963,final,yu,fr,1
1963,final,yu,es,2
1963,final,ch,gb,5
1963,final,ch,de,4
1963,final,ch,at,5
1963,final,ch,no,1
1963,final,ch,it,5
1963,final,ch,dk,4
1963,final,ch,es,4
1963,final,ch,se,1
1963,final,ch,be,4
1963,final,ch,mc,4
1963,final,ch,lu,3
1963,final,fr,nl,4
1963,final,fr,de,1
1963,final,fr,at,2
1963,final,fr,it,4
1963,final,fr,yu,5
1963,final,fr,ch,4
1963,final,fr,es,1
1963,final,fr,be,1
1963,final,fr,mc,2
1963,final,fr,lu,1
1963,final,es,yu,2
1963,final,be,at,4
1963,final,mc,gb,1
1963,final,mc,nl,2
1963,final,mc,de,5
1963,final,mc,at,1
1963,final,mc,it,3
1963,final,mc,yu,1
1963,final,mc,ch,1
1963,final,mc,fr,5
1963,final,mc,se,4
1963,final,mc,lu,2
1963,final,lu,de,3
1963,final,lu,it,1
1963,final,lu,fi,1
1963,final,lu,dk,2
1963,final,lu,ch,2
1963,final,lu,fr,4
1964,final,lu,nl,3
1964,final,lu,fr,3
1964,final,lu,de,5
1964,final,lu,it,3
1964,final,nl,dk,1
1964,final,nl,gb,1
1964,final,no,dk,5
1964,final,no,fi,1
1964,final,dk,no,1
1964,final,dk,es,3
1964,final,fi,no,3
1964,final,fi,dk,3
1964,final,fi,gb,3
1964,final,at,it,5
1964,final,at,be,1
1964,final,at,es,5
1964,final,fr,lu,1
1964,final,fr,at,3
1964,final,fr,mc,5
1964,final,fr,pt,3
1964,final,fr,yu,1
1964,final,fr,es,1
1964,final,gb,nl,1
1964,final,gb,no,5
1964,final,gb,fi,3
1964,final,gb,at,1
1964,final,gb,fr,1
1964,final,gb,de,1
1964,final,gb,ch,5
1964,final,mc,lu,3
1964,final,mc,fr,5
